index,B1_stim,B1_condition,B1_correct,B2_stim,B2_condition,B2_correct,sig_volume,b1_instuctions.thisRepN,b1_instuctions.thisTrialN,b1_instuctions.thisN,b1_instuctions.thisIndex,B1_trials.thisRepN,B1_trials.thisTrialN,B1_trials.thisN,B1_trials.thisIndex,B2_instr.thisRepN,B2_instr.thisTrialN,B2_instr.thisN,B2_instr.thisIndex,B2_trials.thisRepN,B2_trials.thisTrialN,B2_trials.thisN,B2_trials.thisIndex,B1_resp.keys,B1_resp.corr,B1_resp.rt,RT_list,B2_resp.keys,B2_resp.corr,B1_mean_rt,signal.started,signal.stopped,B2_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
1,Catepillar,Animals,f,,,,,,,,,0,0,0,1,,,,,,,,,f,1,0.625586199999816,[0.625586199999816],,,,,,,,001,2019_Oct_09_1750,SST 10-9-19,3.1.5,59.95796946313755,
23,Saw,Nonanimals,j,,,,,,,,,0,1,1,23,,,,,,,,,j,1,0.7384294999974372,"[0.625586199999816, 0.7384294999974372]",,,,,,,,001,2019_Oct_09_1750,SST 10-9-19,3.1.5,59.95796946313755,
9,Squirrel,Animals,f,,,,,,,,,0,2,2,9,,,,,,,,,f,1,0.4870932999983779,"[0.625586199999816, 0.7384294999974372, 0.4870932999983779]",,,,,,,,001,2019_Oct_09_1750,SST 10-9-19,3.1.5,59.95796946313755,
18,Desk,Nonanimals,j,,,,,,,,,0,3,3,18,,,,,,,,,j,1,0.8620741999984602,"[0.625586199999816, 0.7384294999974372, 0.4870932999983779, 0.8620741999984602]",,,,,,,,001,2019_Oct_09_1750,SST 10-9-19,3.1.5,59.95796946313755,
4,Moose,Animals,f,,,,,,,,,0,4,4,4,,,,,,,,,f,1,0.6219524999978603,"[0.625586199999816, 0.7384294999974372, 0.4870932999983779, 0.8620741999984602, 0.6219524999978603]",,,,,,,,001,2019_Oct_09_1750,SST 10-9-19,3.1.5,59.95796946313755,
13,Subway,Nonanimals,j,,,,,,,,,0,5,5,13,,,,,,,,,j,1,0.6075235999996949,"[0.625586199999816, 0.7384294999974372, 0.4870932999983779, 0.8620741999984602, 0.6219524999978603, 0.6075235999996949]",,,,,,,,001,2019_Oct_09_1750,SST 10-9-19,3.1.5,59.95796946313755,
7,Rat,Animals,f,,,,,,,,,0,6,6,7,,,,,,,,,f,1,0.6423746000000392,"[0.625586199999816, 0.7384294999974372, 0.4870932999983779, 0.8620741999984602, 0.6219524999978603, 0.6075235999996949, 0.6423746000000392]",,,,,,,,001,2019_Oct_09_1750,SST 10-9-19,3.1.5,59.95796946313755,
21,Garlic,Nonanimals,j,,,,,,,,,0,7,7,21,,,,,,,,,j,1,0.626900499999465,"[0.625586199999816, 0.7384294999974372, 0.4870932999983779, 0.8620741999984602, 0.6219524999978603, 0.6075235999996949, 0.6423746000000392, 0.626900499999465]",,,,,,,,001,2019_Oct_09_1750,SST 10-9-19,3.1.5,59.95796946313755,
11,Zebra,Animals,f,,,,,,,,,0,8,8,11,,,,,,,,,f,1,0.5079968000027293,"[0.625586199999816, 0.7384294999974372, 0.4870932999983779, 0.8620741999984602, 0.6219524999978603, 0.6075235999996949, 0.6423746000000392, 0.626900499999465, 0.5079968000027293]",,,,,,,,001,2019_Oct_09_1750,SST 10-9-19,3.1.5,59.95796946313755,
17,Shorts,Nonanimals,j,,,,,,,,,0,9,9,17,,,,,,,,,j,1,0.5944066999982169,"[0.625586199999816, 0.7384294999974372, 0.4870932999983779, 0.8620741999984602, 0.6219524999978603, 0.6075235999996949, 0.6423746000000392, 0.626900499999465, 0.5079968000027293, 0.5944066999982169]",,,,,,,,001,2019_Oct_09_1750,SST 10-9-19,3.1.5,59.95796946313755,
16,Screwdriver,Nonanimals,j,,,,,,,,,0,10,10,16,,,,,,,,,j,1,0.6049558000013349,"[0.625586199999816, 0.7384294999974372, 0.4870932999983779, 0.8620741999984602, 0.6219524999978603, 0.6075235999996949, 0.6423746000000392, 0.626900499999465, 0.5079968000027293, 0.5944066999982169, 0.6049558000013349]",,,,,,,,001,2019_Oct_09_1750,SST 10-9-19,3.1.5,59.95796946313755,
0,Armadillo,Animals,f,,,,,,,,,0,11,11,0,,,,,,,,,f,1,0.5191702000010991,"[0.625586199999816, 0.7384294999974372, 0.4870932999983779, 0.8620741999984602, 0.6219524999978603, 0.6075235999996949, 0.6423746000000392, 0.626900499999465, 0.5079968000027293, 0.5944066999982169, 0.6049558000013349, 0.5191702000010991]",,,,,,,,001,2019_Oct_09_1750,SST 10-9-19,3.1.5,59.95796946313755,
10,Toad,Animals,f,,,,,,,,,0,12,12,10,,,,,,,,,f,1,0.780283000000054,"[0.625586199999816, 0.7384294999974372, 0.4870932999983779, 0.8620741999984602, 0.6219524999978603, 0.6075235999996949, 0.6423746000000392, 0.626900499999465, 0.5079968000027293, 0.5944066999982169, 0.6049558000013349, 0.5191702000010991, 0.780283000000054]",,,,,,,,001,2019_Oct_09_1750,SST 10-9-19,3.1.5,59.95796946313755,
19,Truck,Nonanimals,j,,,,,,,,,0,13,13,19,,,,,,,,,j,1,0.6004131999980018,"[0.625586199999816, 0.7384294999974372, 0.4870932999983779, 0.8620741999984602, 0.6219524999978603, 0.6075235999996949, 0.6423746000000392, 0.626900499999465, 0.5079968000027293, 0.5944066999982169, 0.6049558000013349, 0.5191702000010991, 0.780283000000054, 0.6004131999980018]",,,,,,,,001,2019_Oct_09_1750,SST 10-9-19,3.1.5,59.95796946313755,
12,Table,Nonanimals,j,,,,,,,,,0,14,14,12,,,,,,,,,j,1,0.6199850000011793,"[0.625586199999816, 0.7384294999974372, 0.4870932999983779, 0.8620741999984602, 0.6219524999978603, 0.6075235999996949, 0.6423746000000392, 0.626900499999465, 0.5079968000027293, 0.5944066999982169, 0.6049558000013349, 0.5191702000010991, 0.780283000000054, 0.6004131999980018, 0.6199850000011793]",,,,,,,,001,2019_Oct_09_1750,SST 10-9-19,3.1.5,59.95796946313755,
15,Lettuce,Nonanimals,j,,,,,,,,,0,15,15,15,,,,,,,,,f,0,0.4772244000014325,"[0.625586199999816, 0.7384294999974372, 0.4870932999983779, 0.8620741999984602, 0.6219524999978603, 0.6075235999996949, 0.6423746000000392, 0.626900499999465, 0.5079968000027293, 0.5944066999982169, 0.6049558000013349, 0.5191702000010991, 0.780283000000054, 0.6004131999980018, 0.6199850000011793, 0.4772244000014325]",,,,,,,,001,2019_Oct_09_1750,SST 10-9-19,3.1.5,59.95796946313755,
14,Blueberry,Nonanimals,j,,,,,,,,,0,16,16,14,,,,,,,,,j,1,0.7727143999982218,"[0.625586199999816, 0.7384294999974372, 0.4870932999983779, 0.8620741999984602, 0.6219524999978603, 0.6075235999996949, 0.6423746000000392, 0.626900499999465, 0.5079968000027293, 0.5944066999982169, 0.6049558000013349, 0.5191702000010991, 0.780283000000054, 0.6004131999980018, 0.6199850000011793, 0.4772244000014325, 0.7727143999982218]",,,,,,,,001,2019_Oct_09_1750,SST 10-9-19,3.1.5,59.95796946313755,
8,Sea Lion,Animals,f,,,,,,,,,0,17,17,8,,,,,,,,,f,1,0.7517344000007142,"[0.625586199999816, 0.7384294999974372, 0.4870932999983779, 0.8620741999984602, 0.6219524999978603, 0.6075235999996949, 0.6423746000000392, 0.626900499999465, 0.5079968000027293, 0.5944066999982169, 0.6049558000013349, 0.5191702000010991, 0.780283000000054, 0.6004131999980018, 0.6199850000011793, 0.4772244000014325, 0.7727143999982218, 0.7517344000007142]",,,,,,,,001,2019_Oct_09_1750,SST 10-9-19,3.1.5,59.95796946313755,
3,Leopard,Animals,f,,,,,,,,,0,18,18,3,,,,,,,,,f,1,0.7808717000007164,"[0.625586199999816, 0.7384294999974372, 0.4870932999983779, 0.8620741999984602, 0.6219524999978603, 0.6075235999996949, 0.6423746000000392, 0.626900499999465, 0.5079968000027293, 0.5944066999982169, 0.6049558000013349, 0.5191702000010991, 0.780283000000054, 0.6004131999980018, 0.6199850000011793, 0.4772244000014325, 0.7727143999982218, 0.7517344000007142, 0.7808717000007164]",,,,,,,,001,2019_Oct_09_1750,SST 10-9-19,3.1.5,59.95796946313755,
6,Parrot,Animals,f,,,,,,,,,0,19,19,6,,,,,,,,,f,1,0.7442187999986345,"[0.625586199999816, 0.7384294999974372, 0.4870932999983779, 0.8620741999984602, 0.6219524999978603, 0.6075235999996949, 0.6423746000000392, 0.626900499999465, 0.5079968000027293, 0.5944066999982169, 0.6049558000013349, 0.5191702000010991, 0.780283000000054, 0.6004131999980018, 0.6199850000011793, 0.4772244000014325, 0.7727143999982218, 0.7517344000007142, 0.7808717000007164, 0.7442187999986345]",,,,,,,,001,2019_Oct_09_1750,SST 10-9-19,3.1.5,59.95796946313755,
22,Drill,Nonanimals,j,,,,,,,,,0,20,20,22,,,,,,,,,j,1,0.6215349000012793,"[0.625586199999816, 0.7384294999974372, 0.4870932999983779, 0.8620741999984602, 0.6219524999978603, 0.6075235999996949, 0.6423746000000392, 0.626900499999465, 0.5079968000027293, 0.5944066999982169, 0.6049558000013349, 0.5191702000010991, 0.780283000000054, 0.6004131999980018, 0.6199850000011793, 0.4772244000014325, 0.7727143999982218, 0.7517344000007142, 0.7808717000007164, 0.7442187999986345, 0.6215349000012793]",,,,,,,,001,2019_Oct_09_1750,SST 10-9-19,3.1.5,59.95796946313755,
20,Tomato,Nonanimals,j,,,,,,,,,0,21,21,20,,,,,,,,,j,1,0.7277514000015799,"[0.625586199999816, 0.7384294999974372, 0.4870932999983779, 0.8620741999984602, 0.6219524999978603, 0.6075235999996949, 0.6423746000000392, 0.626900499999465, 0.5079968000027293, 0.5944066999982169, 0.6049558000013349, 0.5191702000010991, 0.780283000000054, 0.6004131999980018, 0.6199850000011793, 0.4772244000014325, 0.7727143999982218, 0.7517344000007142, 0.7808717000007164, 0.7442187999986345, 0.6215349000012793, 0.7277514000015799]",,,,,,,,001,2019_Oct_09_1750,SST 10-9-19,3.1.5,59.95796946313755,
2,Frog,Animals,f,,,,,,,,,0,22,22,2,,,,,,,,,f,1,0.6531403999979375,"[0.625586199999816, 0.7384294999974372, 0.4870932999983779, 0.8620741999984602, 0.6219524999978603, 0.6075235999996949, 0.6423746000000392, 0.626900499999465, 0.5079968000027293, 0.5944066999982169, 0.6049558000013349, 0.5191702000010991, 0.780283000000054, 0.6004131999980018, 0.6199850000011793, 0.4772244000014325, 0.7727143999982218, 0.7517344000007142, 0.7808717000007164, 0.7442187999986345, 0.6215349000012793, 0.7277514000015799, 0.6531403999979375]",,,,,,,,001,2019_Oct_09_1750,SST 10-9-19,3.1.5,59.95796946313755,
5,Penguin,Animals,f,,,,,,,,,0,23,23,5,,,,,,,,,f,1,0.677871599997161,"[0.625586199999816, 0.7384294999974372, 0.4870932999983779, 0.8620741999984602, 0.6219524999978603, 0.6075235999996949, 0.6423746000000392, 0.626900499999465, 0.5079968000027293, 0.5944066999982169, 0.6049558000013349, 0.5191702000010991, 0.780283000000054, 0.6004131999980018, 0.6199850000011793, 0.4772244000014325, 0.7727143999982218, 0.7517344000007142, 0.7808717000007164, 0.7442187999986345, 0.6215349000012793, 0.7277514000015799, 0.6531403999979375, 0.677871599997161]",,,,,,,,001,2019_Oct_09_1750,SST 10-9-19,3.1.5,59.95796946313755,
,,,,Antelope,Animals,f,1,,,,,,,,,,,,,0,0,0,0,,,,,None,0,0.6519252958329768,0.43358749999970314,0.5332526999991387,,,001,2019_Oct_09_1750,SST 10-9-19,3.1.5,59.95796946313755,
,,,,Anteater,Animals,f,1,,,,,,,,,,,,,0,1,1,1,,,,,None,0,0.6519252958329768,0.4318438000009337,0.5317830000021786,,,001,2019_Oct_09_1750,SST 10-9-19,3.1.5,59.95796946313755,
,,,,Aardvark,Animals,f,1,,,,,,,,,,,,,0,2,2,2,,,,,f,1,0.6519252958329768,0.4315270999977656,0.53167399999802,0.6338776000011421,,001,2019_Oct_09_1750,SST 10-9-19,3.1.5,59.95796946313755,
,,,,Alligator,Animals,f,1,,,,,,,,,,,,,0,3,3,3,,,,,f,1,0.6519252958329768,0.4318000999992364,0.531862200001342,0.7241670000003069,,001,2019_Oct_09_1750,SST 10-9-19,3.1.5,59.95796946313755,
